"","id","name","year","minplayers","maxplayers","suggested_num_players","playingtime","minplaytime","maxplaytime","minage","mechanic","numratings","average","bayesaverage","stddev","owned","trading","wanting","wishing","numcomments","numweights","averageweight","Childrens.Game","Ancient","Animals","Bluffing","Card.Game","City.Building","Civilization","Collectible.Components","Comic.BookStrip","Deduction.x","Dice","Economic","Educational","Exploration","Fantasy","Fighting","Horror","Humor","Medieval","Memory.x","Miniatures","Modern.Warfare","MoviesTVRadio.theme","Nautical","Negotiation.x","Party.Game","Political","Print...Play","Puzzle","Racing","Real.time","Science.Fiction","Sports","Territory.Building","Trains","Trivia","Wargame","Word.Game","World.War.II","Card.Drafting","Cooperative.Game","Deck","Dice.Rolling","Events","Grid.Movement","Hand.Management","Hexagon.Grid","Memory.y","Modular.Board","Movement.Points","Network.and.Route.Building","Paper.and.Pencil","Pattern.Building","Pattern.Recognition","Pick.up.and.Deliver","Player.Elimination","Point.to.Point.Movement","Push.Your.Luck","Role.Playing","RollSpin.and.Move","Secret.Unit.Deployment","Set.Collection","Simulation","Simultaneous.Action.Selection","SoloSolitaire.Game","Storytelling","Take.That","Team.Based.Game","Tile.Placement","Trading","Trick.taking","Variable.Player.Powers","Voting","Worker.Placement","category.cluster","mechanic.cluster","category.cluster.kmed","mechanic.cluster.kmed"
"712",878,"Wyatt Earp",2001,2,4,3,45,30,45,8,"Hand Management, Set Collection",3945,6.8314,6.41733,1.25614,5475,232,156,494,1362,369,1.8401,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3","1","1","1"
"809",1041,"San Marco",2001,3,4,3,75,75,75,10,"Area MajorityInfluence, Card Drafting, I Cut, You Choose",4322,7.16999,6.6928,1.24963,4583,168,325,893,1424,479,2.6785,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1","2","2"
"810",1042,"Dragon's Gold",2001,3,6,6,45,45,45,12,"Hand Management, Set Collection, Take That, Trading",3136,6.43377,6.09497,1.27098,4491,267,98,507,1022,226,1.6947,"0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"3","1","1","1"
"851",1125,"Big Shot",2001,2,4,3,30,30,30,10,"Area MajorityInfluence, AuctionBidding, Dice Rolling",623,6.67758,5.81413,1.31611,923,36,74,204,183,42,1.9762,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","3","3","3"
"870",1155,"Capitol",2001,2,4,4,60,60,60,10,"Area MajorityInfluence, AuctionBidding, Turn Order: Progressive",1471,6.80876,6.09528,1.20148,1824,133,83,214,587,164,2.6402,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1","2","4"
"873",1159,"Evo",2001,3,5,4,120,60,120,12,"Area MajorityInfluence, Area Movement, AuctionBidding, Dice Rolling, Hand Management, Turn Order: Stat-Based, Variable Player Powers, Victory Points as a Resource",4403,6.87178,6.47742,1.20424,3967,135,182,648,1275,446,2.343,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","3","2","3"
"899",1203,"Witch Trial",2001,3,7,4,45,45,45,10,"",663,6.23725,5.68556,1.45533,1287,50,23,68,252,69,1.6957,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1","1","4"
"927",1245,"Isis & Osiris",2001,2,4,2,20,10,20,7,"Tile Placement",978,5.83044,5.6156,1.26008,1792,102,9,45,231,82,1.3537,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1","1","2","4"
"934",1253,"Limits",2001,2,6,3,45,45,45,8,"",578,5.96081,5.61695,1.33258,967,55,17,53,157,58,1.1379,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","4"
"942",1261,"Medina",2001,3,4,4,60,60,60,10,"Tile Placement",3049,7.01188,6.47217,1.26547,3905,123,177,611,859,271,2.786,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2","1","2","4"
